snapshot_date,package,app_name,max_installs,installs_bucket,score,ratings,version,chart_rank,chart,in_chart,in_watchlist,cluster,scraped_at,run_id
2026-08-10,com.sec.android.app.shealth,Samsung Health,2266318373,"1,000,000,000+",4.0660434,1574386,VARY,44,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:58.913Z,2026-08-10_1786332600
2026-08-10,com.google.android.apps.healthdata,Health Connect,922651683,"500,000,000+",3.7851279,87583,2026.07.09.00.release,21,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:29.719Z,2026-08-10_1786332600
2026-08-10,com.google.android.apps.fitness,Google Fit: Activity Tracking,362131863,"100,000,000+",4.0657763,683579,VARY,6,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:10.184Z,2026-08-10_1786332600
2026-08-10,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,299285610,"100,000,000+",4.854902,3991099,1.7.6,19,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:26.919Z,2026-08-10_1786332600
2026-08-10,com.fitbit.FitbitMobile,Google Health (Fitbit),282856260,"100,000,000+",4.169546,1302139,VARY,55,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:31:16.082Z,2026-08-10_1786332600
2026-08-10,com.popularapp.periodcalendar,Period Calendar Period Tracker,223655408,"100,000,000+",4.857039,4880543,VARY,83,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:31:53.992Z,2026-08-10_1786332600
2026-08-10,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,211132141,"100,000,000+",4.8545237,2831343,1.4.6,41,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:55.423Z,2026-08-10_1786332600
2026-08-10,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,202962185,"100,000,000+",4.7580557,5031361,10.3.0,34,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:46.888Z,2026-08-10_1786332600
2026-08-10,nic.goi.aarogyasetu,AarogyaSetu 2.0,189100946,"100,000,000+",3.9576182,1657499,3.1.5-Ghent Kangri karakoram,17,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:24.595Z,2026-08-10_1786332600
2026-08-10,in.sweatco.app,Sweatcoin・Walking Step Counter,158871152,"100,000,000+",4.414131,3008608,253.0.0,3,HEALTH_AND_FITNESS,true,false,,2026-08-10T03:30:05.749Z,2026-08-10_1786332600
