2026-08-06T10:56:44.663Z | 2026-08-06_1786013656 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-06T11:24:57.308Z | 2026-08-06_1786015350 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-07T05:16:13.918Z | 2026-08-07_1786079622 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-08T03:15:42.870Z | 2026-08-08_1786158773 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-09T03:23:05.312Z | 2026-08-09_1786245635 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-10T03:32:41.734Z | 2026-08-10_1786332600 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-11T03:24:59.985Z | 2026-08-11_1786418552 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-12T03:52:34.703Z | 2026-08-12_1786506617 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-13T03:56:28.195Z | 2026-08-13_1786593238 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-14T03:53:37.277Z | 2026-08-14_1786679456 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-15T02:40:21.644Z | 2026-08-15_1786761474 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-16T02:48:58.471Z | 2026-08-16_1786848379 | exit=0 | chart=100 | appbrain=99 | play=123 | fail=0
2026-08-17T02:48:20.893Z | 2026-08-17_1786934758 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-18T02:43:51.054Z | 2026-08-18_1787020886 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-19T02:45:53.896Z | 2026-08-19_1787107412 | exit=0 | chart=100 | appbrain=99 | play=119 | fail=0
2026-08-20T02:44:52.723Z | 2026-08-20_1787193736 | exit=0 | chart=100 | appbrain=99 | play=119 | fail=0
2026-08-21T02:51:03.194Z | 2026-08-21_1787280518 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-22T02:42:27.832Z | 2026-08-22_1787366400 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
2026-08-23T02:51:15.250Z | 2026-08-23_1787453329 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-24T02:51:56.615Z | 2026-08-24_1787539763 | exit=0 | chart=100 | appbrain=99 | play=122 | fail=0
2026-08-25T02:47:00.317Z | 2026-08-25_1787625861 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-26T02:53:56.401Z | 2026-08-26_1787712688 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-27T12:03:29.573Z | 2026-08-27_1787832063 | exit=0 | chart=100 | appbrain=99 | play=120 | fail=0
2026-08-28T13:23:36.631Z | 2026-08-28_1787923270 | exit=0 | chart=100 | appbrain=99 | play=121 | fail=0
